SUBJECT_CUI,PREDICATE,OBJECT_CUI
C0000096,INHIBITS,C0031640
C0014252,AUGMENTS,C0011065
C0000097,AUGMENTS,C5707881
C0599786,INHIBITS,C0013030
C0000097,STIMULATES,C0013030
C0000167,TREATS,C0030705
C0007552,TREATS,C0010692
C0000294,TREATS,C0019080
C0939876,TREATS,C0030705
C0000376,INHIBITS,C0034417
C0000376,STIMULATES,C1577317
C0000378,TREATS,C2936258
C0000378,TREATS,C0030567
C0000378,TREATS,C0870668
C0000677,COEXISTS_WITH,C0038838
C0037366,INHIBITS,C0003402
C0000379,INHIBITS,C0007367
C0000379,INHIBITS,C0877880
C0000379,INHIBITS,C0038838
C0000379,STIMULATES,C0007367
C0000379,STIMULATES,C0017817
C0000379,STIMULATES,C0701918
C0053800,STIMULATES,C0038838
C0000379,TREATS,C0009932
C0000379,TREATS,C0025914
C0000379,TREATS,C0030705
C0000379,TREATS,C0034693
C0115471,TREATS,C0043210
C0036860,TREATS,C0241863
C0000392,TREATS,C0028715
C0000431,STIMULATES,C0010762
C0000431,TREATS,C0034693
C0000473,TREATS,C2936258
C0025842,TREATS,C0011644
C0000473,TREATS,C0014009
C0000473,TREATS,C0030848
C0000473,TREATS,C0022650
C0000473,TREATS,C1527383
C0000477,TREATS,C0026769
C0000477,TREATS,C0030705
C0700567,TREATS,C0751830
C0000503,TREATS,C0007384
C0000503,TREATS,C0039011
C0000530|4907,PRODUCES,C0032400
C0060637,PRODUCES,C0001443
C0038179,COEXISTS_WITH,C0016157
C0000545,COEXISTS_WITH,C0003320
C0000545,INHIBITS,C0003695
C0000545,TREATS,C0020114
C4082583,TREATS,C0026809
C3256380,TREATS,C0030705
C0000545,TREATS,C0034693
C0000545,TREATS,C1827301
C0034786|367,AUGMENTS,C1281590
C0000578,INTERACTS_WITH,C0078791
C0000578,STIMULATES,C0036751
C0035031,TREATS,C0026809
C0000578,TREATS,C0034693
C0000598,TREATS,C0007781
C0000608,INHIBITS,C0034063
C0000608,TREATS,C0019080
C0000608,TREATS,C0030705
C0000618,TREATS,C0008059
C0000618,TREATS,C0009324
C0000618,TREATS,C0010346
C0000618,TREATS,C0021390
C1510800,TREATS,C0023434
C0000618,TREATS,C0023449
C0000618,TREATS,C0023452
C0000618,TREATS,C2986665
C4726937,TREATS,C0024305
C5816491,TREATS,C0030705
C0000618,TREATS,C1961102
C0000677,INTERACTS_WITH,C0012854
C0000737,ASSOCIATED_WITH,C0012634
C0000737,ASSOCIATED_WITH,C2584778
C0427008,ASSOCIATED_WITH,C0559031
C0000768,COEXISTS_WITH,C0043459
C0000768,COEXISTS_WITH,C0020302
C0015393,COEXISTS_WITH,C0014544
C0000768,COEXISTS_WITH,C0015625
C0010278,COEXISTS_WITH,C0018798
C0559260,COEXISTS_WITH,C0019247
C1402998,COEXISTS_WITH,C0027651
C0000768,COEXISTS_WITH,C0036341
C0000768,COEXISTS_WITH,C0039082
C0000768,COEXISTS_WITH,C1273489
C0000768,COEXISTS_WITH,C0010278
C0149630,COEXISTS_WITH,C0678236
C0000768,COEXISTS_WITH,C0699748
C0015393,COEXISTS_WITH,C0870182
C0000772,COEXISTS_WITH,C1274228
C0000811,TREATS,C1135183
C0000811,TREATS,C0042947
C0000811,TREATS,C0870668
C0000811,TREATS,C0034694
C0000811,TREATS,C0036945
C0000811,TREATS,C0683971
C1282573,TREATS,C0324143
C1705576,USES,C0013227
C4763595,USES,C0016767
C0000811,USES,C0209263
C0000811,USES,C0033554
C0000811,USES,C0037494
C1112614,USES,C0085174
C0000820,TREATS,C0030705
C0000820,TREATS,C0043210
C1880556,USES,C0026088
C0000820,USES,C0085174
C0577709,COEXISTS_WITH,C0162836
C0061202,AUGMENTS,C0332862
